Mode,L1 Size,L2 Size,Block Size,Associativity,Policy,L1 Hits,L1 Misses,L2 Hits,L2 Misses,Memory Accesses,Total Accesses,L1 Hit Rate (%),L2 Hit Rate (%),Total Cycles
Multi,2048,8192,64,1,LRU,5096901,720593,255170,465423,465423,5817494,87.61,35.41,29643901
Single,2048,-,64,1,Random,5096901,720593,-,-,720593,5817494,87.61,-,41126551
Multi,2048,8192,64,1,Random,5096901,720593,507907,212686,212686,5817494,87.61,70.48,18270736
Single,2048,-,64,1,FIFO,5096901,720593,-,-,720593,5817494,87.61,-,41126551
Multi,2048,8192,64,1,FIFO,5096901,720593,255170,465423,465423,5817494,87.61,35.41,29643901
Single,2048,-,64,2,LRU,5444174,373320,-,-,373320,5817494,93.58,-,24110174
Multi,2048,8192,64,2,LRU,4918500,898994,722079,176915,176915,5817494,84.55,80.32,17374645
Single,2048,-,64,2,Random,5373220,444274,-,-,444274,5817494,92.36,-,27586920
Multi,2048,8192,64,2,Random,5325132,492362,302073,190289,190289,5817494,91.54,61.35,16349947
Single,2048,-,64,2,FIFO,5399687,417807,-,-,417807,5817494,92.82,-,26290037
Multi,2048,8192,64,2,FIFO,4918500,898994,679338,219656,219656,5817494,84.55,75.57,19297990
Single,2048,-,64,4,LRU,5474750,342744,-,-,342744,5817494,94.11,-,22611950
Multi,2048,8192,64,4,LRU,5463394,354100,177252,176848,176848,5817494,93.91,50.06,15192054
Single,2048,-,64,4,Random,5412894,404600,-,-,404600,5817494,93.05,-,25642894
Multi,2048,8192,64,4,Random,5392153,425341,239162,186179,186179,5817494,92.69,56.23,15896913
Single,2048,-,64,4,FIFO,5426245,391249,-,-,391249,5817494,93.27,-,24988695
Multi,2048,8192,64,4,FIFO,5317068,500426,303268,197158,197158,5817494,91.4,60.6,16691308
